0.49	0.00396326288682758
0.99	0.0228048828466854
1.49	0.0968604261524888
1.99	0.110531935937615
2.49	0.117082234084592
2.99	0.100876839949706
3.49	0.177548839234078
3.99	0.281946693507781
4.49	0.259647103842394
4.99	0.262412458161823
5.49	0.264613723030802
5.99	0.284188763655845
6.49	0.354851935275182
6.99	0.391558521221416
7.49	0.419454485515242
7.99	0.449849652330428
8.49	0.597193197895805
8.99	0.524722709629813
9.49	0.541242053927405
9.99	0.567226788673011
10.49	0.577178435383914
10.99	0.583483429852137
11.49	0.596766890202545
11.99	0.688030183645651
12.49	0.736640539511654
12.99	0.856770897502429
13.49	0.809695775838236
13.99	0.818140733529162
14.49	0.799246887534764
14.99	0.89604769318089
15.49	0.879724213573581
15.99	0.916661871015776
16.49	0.844699099415948
